sentence,cct_labels
"i chose this major because both biology and chemistry fascinate me, and my career goal is to become a pathologist, a scientist who studies the causes and effects of diseases.",Attainment
i am here in physics 111112 at san francisco state university because i am pursuing higher education and a science based degree.,Attainment
"also another reason that i am here in this course is my major used to be math and physic when i was in my country and i did really good at them but as i moved here i change my major to biology to become optometric.after i done with my career my job should be related to math, physics,and biology.","Attainment, Navigational"
contributing to the regrowth of wildlife plants and animals is where i feel like i truly belong.,Attainment
"i am currently an environmental science major at san francisco state university, and i plan to enter a field of environmental sciences and zoology once i graduate.",Attainment
"besides this class, i am here in sf state to learn and gain enough knowledge for me to apply into a nursing program after i graduate.",Attainment
i would like to be a cardiothoracic surgeon.,Attainment
i feel like i wasnt created to be a cardiothoracic surgeon.,Attainment
i am here for the sole purpose of reaching my goal of graduating with a kinesiology degree.,Attainment
i knew i wanted to go to college since i was in kindergartenwhen i realized that my dream career was to become a veterinarian.,Attainment
"i am a first generation college student, thus the whole college application process and requirements were new to me.","Aspirational, Attainment, Familial, Filial Piety, First Gen"
"in the future, im hoping to be in the medical field, specially working in sonography.",Attainment
"since middle school, i've been so centered at persuing a career as a veterinarian, but my mind has been drifting towards the marine world.","Attainment, Navigational"
i am attending school because i want to have a career in dentistry.,"Aspirational, Attainment"
i want to be successful and happy in my career as a marine biologist and i want to make my parents proud.,"Aspirational, Attainment, Familial, Filial Piety"
also i want to be an optometrist and this class is part of that journey.,Attainment
i wanted to make my parents proud and wanted to obtain a college degree.,"Attainment, Familial, Filial Piety"
i am currently a junior at san francisco state and i am taking this course to fulfill my prerequisites to apply for medical school.,"Attainment, Navigational"
i eventually decided to quit this job to fulltime pursue my undergraduate degree in microbiology.,Attainment
physics 1 and physics 2 are requirements to get into ucsfs physical therapy program so im not going to let my fear of math stand in the way of my goals.,"Attainment, Navigational, Perseverant"
i guess my purpose is just to get my degree in biology and work at a lab.,Attainment
"my goal is to become a surgeon, either cardio or general surgery.",Attainment
my goal is to become a veterinarian and i knew that i didnt just want to just do the minimum of work.,Attainment
"dreams require steps and hurdles like taking physics classes towards a degree, towards eventually (hopefully, maybe) a doctorate.","Attainment, Navigational"
"my end goal is to be a n obgyn. i counted not fit this into my two year journey at the community college i was in, so i had to complete it after i transferred.","Attainment, Navigational"
im here because i want to pursue a degree in biology.,Attainment
im here because i want to pursue a career in environmental science .,Attainment
i am here to take this physics class so i can graduate with a degree from san francisco state university.,"Aspirational, Attainment"
i am studying physiology in hopes of going to medical school to become an oncologist.,Attainment
"as a person going into medical school, its very important to learn and adapt to various kinds of labs.",Attainment
"as a kinesiology major, the main reason i am taking this class is that it is a prerequisite for physical therapy school.",Attainment
im here because i want to pursue a career in the medical field.,"Aspirational, Attainment"
"however, i am here because i have goals and i want to pursue a career in the medical field hopefully leading my way to becoming a neonatal doctor.","Attainment, Navigational"
i want to one day be able to save hundreds and even thousands of lives and especially travel to third world countries and help out kids who do not have the resources to medicine.,"Attainment, Community, Spiritual"
this is why im here at san francisco state university majoring in biology concentration in physiology to in hopes one day become a pediatric nurse and to work as hard as i can so that one day i could return something back to my parents and make them proud for what theyve given up for me to live a better life.,"Attainment, Familial, Filial Piety"
why i am here is because i want to fulfill my families dreams and my own dreams of becoming a successful obgyn one day.,"Aspirational, Attainment"
i am here in this class to fulfill the requirements of ucsfs physical therapy school.,"Attainment, Navigational"
i am taking physics 121 because it is a requirement for going into graduate school for physical therapy.,"Attainment, Navigational"
my goal is to become a pediatrician and there are many courses which i have to take in order to work towards that goal.,Attainment
"to answer this question, why am i here? i chose to be in this class because it is a requirement to fulfill in order for me to obtain my cell and molecular biology bachelors degree.",Attainment
i am here in sf state because i am pursuing my bachelor degree.,Attainment
"what's more, my dream is to become a veterinarian, but in china, there is only limited program that focus on veterinarian science.i transferred from university of california, santa barbara because san francisco is the city i want to stay for the rest of my life and i love everything about sf state.i am here because physics 122 is one of my major lower division class.","Aspirational, Attainment, Navigational"
"to go indepth, excelling in my studies will lead to getting into a great physical therapy program.",Attainment
but it was really fun to get to do something i do but from a different perspective and in the future as a nurse or pa or a dietitian (still can't make up my mind) i think it is really important to have an open mind about everything and be opened to learning new things!,Attainment
"i came to achieve my bachelors degree in biology, in hopes of going to medical school right after.","Aspirational, Attainment"
i want to be able to continue my passion for learning because i think that it is amazing to have a growth mindset.,"Aspirational, Attainment"
"i want to be able to do probono work for families in mexico, while also being a pa in the us. that is why i am here, and why i want to learn what i can.","Aspirational, Attainment"
i am here because this class is one of many classes i need to take to complete a bachelor's degree in biology.,"Attainment, Navigational"
the only way that im able to create a better future for my community is by getting a phd and create data dedicated in my community and create policy targeted towards my community.,"Attainment, Community, Social, Spiritual"
"i know it is important, but again, i will not need it for what i want to do later in life, which is being an animal physical rehabilitator.",Attainment
id say im here to get an education and try to work my way towards being a doctor which is something i aspire to be.,Attainment
"im here because im trying to major in the stem field, specifically i want to enroll in a phd program after graduating with a b.s in cell and molecular biology.","Aspirational, Attainment, Navigational"
"by graduating i can pursue my goal of going to medical school, but by that i need to pass all my courses such as this lab course.",Attainment
i am here to learn the basics required to become a physician.,"Aspirational, Attainment"
"throughout my entire life, i have dreamt about working in the medical field.",Attainment
"overall, i am here to complete my degree in sfsu.",Attainment
"i am majoring in prekinesiology and taking classes that i need to get into graduate school, hopefully the physical therapy program at california state university of long beach.",Attainment
"i am here in this class to get my degree, but i am here at this school to better my life.",Attainment
"i am here because i am a biophysio major, and this is a requirement for medical school. i have never taken a physics class before but truthfully i thought by taking this class in place of the other physics series i would able to get another requirement out of the way without spending as much money. however, i am unsure if i want to continue down the path of preparing for medical school and may decide to do something else with my major. maybe through taking this class i will develop a stronger interest in physics and want to discover different interesting aspects about it. if i decide to change my major, which may not be the smartest idea because i am currently a third year and that will set me back a lot for graduating on time, i would change it to some sort of engineering major because of my father being in the engineering field, sparking my interest toward it. i hope through this class i am able to meet more people to study for the quizzes in this lab as well as those in lecture and create a large study group.","Attainment, Navigational"
"all of this has lead me to pursue a degree in mechanical engineering, ultimately leading me to taking this course.",Attainment
after working in it for a few years it was inevitable that i return to school and finish my degree if i wanted to proceed further into the field.,Attainment
i really want to be a video gamer programmer and i know that physics is really important in that industry because of animation etc.,Attainment
i am here because i believe that by getting my degree i will be able to better my life and my personal growth by starting a career in civil engineering.,"Aspirational, Attainment"
i am here simply because it is part of the requirements of obtaining my degree.,Attainment
"i really want to be in the field of automotive engineering, doing things like designing chassis for cars.",Attainment
i am here to work on my civil engineering degree.,"Aspirational, Attainment"
the reason im here in this class is to help get me closer to getting my bachelors degree in computer science and hopefully work that up to a masters at least.,Attainment
"here i am now, studying at sf state to have my b.s. computer engineering degree.",Attainment
the bigger reason for why i am here as sf state is to get my degree to get a hopefully get a decent to well paying job when i graduate.,Attainment
i am here in physics 222 because its part of the class physics 220 and i am going to be a civil engineer.,Attainment
"i signed up to become a physicist, a career to become a physicist.",Attainment
"so i guess im really here because i have an interest in mechanical engineering and this class, or more specifically this laboratory, is preparing me to understand all the necessary math and physics that go into being an engineer.","Attainment, Navigational"
i am here at san francisco state university to get a degree in computer science.,Attainment
"my goal for this class is to pass with an a, and to learn how to work better with others and have fun with physics!",Attainment
i came to the united states to become a great engineer and to make my family proud of me i am here to learn as much as i can .,"Attainment, Familial, Filial Piety"
i am her at sfsu to continue my education and graduate with a b.s. in computer engineering.,Attainment
i am here at san francisco state to recieve a formal education and strive for my ba in computer science.,Attainment
"in addition, i want to become an engineer someday and that starts with me learning basics physics concepts that are going to be applied to my career.","Aspirational, Attainment"
that has been a memorable experience that i want to expand on.,"Aspirational, Attainment"
i am here in this class to fulfill my requirements for my bachelor degree in computer science.,"Attainment, Navigational"
"firstly, i am here in the class to meet the requirements to obtain my bachelors degree from san francisco state university.","Attainment, Navigational"
parts of why i am here has a lot to do with the universe and life trials that lead me astray just to bring me back to pursue my education but as a computer science major this time.,Attainment
"i am here to further my education, to help myself get a degree and to provide myself with a better opportunity to have a well paying job once i graduate.","Aspirational, Attainment"
to be more specific i am studying civil engineering in hopes of working in the structural engineering field in the near future.,Attainment
i am here to graduate and become a civil engineer.,"Aspirational, Attainment"
i am here because i have this feeling i would like to be an architect and draw up residential buildings.,Attainment
i've always wanted to be a detective and work with computers so i decided to take this path.,Attainment
this class was one of the requirements for my major classes without it i won't be able to reach my goal of a masters.,Attainment
it would be especially easier to learn about physics now and apply to my future coursesi am also here because it is one of the required courses that i must take in my academic pathway to graduate with my engineering degree here in sfsu.,"Attainment, Navigational"
i am here to complete my courses in order to move on in achieving my goal of obtaining my engineering degree.,"Aspirational, Attainment, Navigational"
"when i think about it it ultimately comes down to because i want to get a degree in what i am studying, it also comes down to because i want to live the college life and explore n my own and learn from the mistakes i will be making while i am here.","Aspirational, Attainment"
i want to make my parents proud and improve their lifestyle.,"Aspirational, Attainment, Filial Piety, First Gen"
i am taking physics because i will need it in order to pursue my major and i want to expand my knowledge in the field of math and sciences.,"Aspirational, Attainment"
"to be honest, i'm here pursuing a degree that i don't even care about anymore.",Attainment
i want to be an engineering for the future.,"Aspirational, Attainment"
with this in mind i plan to take advantage of my resources in college to help me with getting my degree in computer engineering (or computer science).,Attainment
i am a computer engineering major that wants to get my degree and have to take this class to fulfill my requirements.,"Attainment, Navigational"
the reason why i am here is to continue with acquiring my degree so that i can eventually apply for a programming job at a software firm.,Attainment
i intend to become a software engineer so i honestly have no idea how electric fields and charges have anything in common with it.,Attainment
i hope this subject will teach me at least something valuable i can use in becoming a software engineer.,Attainment
"since i am pursuing a degree in computer engineering, my goal after graduating was to work for a gaming companies such as zynga, activision, or blizzard, but my side goal was to give back to low income communities that arent technologically advanced.",Attainment
"in my major, computer science, i am hoping to gain an internship to make my chances better at achieving that goal of success and fulfillment, but at the moment, my goal is to meet new people within my organization, the asian student union, and to also have at least a 3.5 gpa for this year.",Attainment
i am here because i want to get a degree in computer science and this class is a requirement.,"Aspirational, Attainment"
"physics is a class that often can have a negative stigma surrounding it, especially given how abstract the concepts can get, but i am nonetheless interested in the content and try to keep an open mind as i study it.as for college in general, i am here because i wish to gather the knowledge and experience to become a math teacher, in addition to forming valuable connections with the people i meet along the way.","Attainment, Perseverant"
"so i guess im taking the class because its interesting, gets me closer to my end goal of getting a cs degree.","Attainment, Navigational"
"my major is computer science, and my goal is to become a software engineer at an established company in the bay area, and physics is one of the classes i have to get through; it may not be that directly related to my major, but it is a requirement that i have to fulfill.",Attainment
the reason im here taking physics 232 is because its a prerequisite for to get my degree in civil engineering.,"Attainment, Navigational"
"i guess those are really all my thoughts, but i hope to do to put in enough work into this class to succeed and do well.","Aspirational, Attainment"
the reason why i am at this school is because i want to pursue a degree in chemistry.,"Aspirational, Attainment"
"i am here to pursue my career of becoming an electrical engineering, and physics is one of the most important parts of it.","Aspirational, Attainment"
what got me here is the fact that im trying to fulfill a civil engineering bachelor.,Attainment
"i am not just here to fulfill my courses though, i am here to better myself in many different aspects.","Aspirational, Attainment"
i am here studying mechanical engineering to obtain the skills and knowledge required to pursue a career in aeronautical engineering.,Attainment
i still hope to obtain a pilot's license for recreational use but until then i will study to get a step closer to my goals.,Attainment
"taking this class is not my choice, in fact, it is a barrier standing in my way of passing all of my classes with all as.",Attainment
i am here because i need it to move on to my other classes and hopefully in the long run become a successful engineer.,"Attainment, Navigational"
"eventually, i will finish all of those classes and feel satisfaction and pride that i was able to earn a degree in mechanical engineering.",Attainment
i would like to go on my major till i get a computer science degree.,Attainment
and my dream job is to be a software engineer.,Attainment
i am an aspiring engineer and i love doing experiments and get in depth of what is going on behind the scenes or what causes something and why.,Attainment
i am studying to become an electrical engineer.,Attainment
i am here because i want to get a degree.,"Aspirational, Attainment"
i am here at sfsu due to its cinema program and resources.,Attainment
i hope to graduate within four years.,Attainment
"last semester i took an asian american studies class, and i enjoyed it so much i decided to get some degree in it (whether it be major or minor).",Attainment
im here at san francisco state university to further my education and major in finance.,"Attainment, Navigational"
i seek a foundation in these subjects because i would love to become a teacher to do return the favor people have done for me in enlightening and opening my mind up to enjoying learning.,Attainment
"i really want to be an immigration lawyer, especially here in the bay since south east asians here are getting targeted by ice. i'm here in this class because i truly hate science and at least this is kind of interesting.","Attainment, Resistance"
"this subject is intriguing, but i am pursuing a degree in apparel merchandising.",Attainment
i am here so that i can enhance my education and earn a bachelors degree so that i can get a job that makes a good salary and that i get to do something exciting and interesting.,"Attainment, Navigational"
my major is cinematic arts and i plan to minor in animation in order to pursue my career goals in the creation of childrens animated films.,"Attainment, Navigational"
i'm here in college right now to try and get a bachelors degree of some sort so i can have some kind of qualification or just an advantage while searching for a job in the future.,Attainment
"as of where i stand currently, i have been all the way through grade school and i by going to college here at sfsu i have chosen the path to pursue my education even further and get my degree.","Attainment, Navigational"
"i am a second year psychology major who is interested in becoming a childrens behavior psychologist, but i am taking this course to satisfy my ge requirements.","Attainment, Navigational"
im here because i want to get my bachelors degree.,"Aspirational, Attainment"
i hope to obtain my bachelors degree in abnormal psychology and go on to grad school to get my masters in art therapy in order to become an art therapist for young children.,"Attainment, Navigational"
"i believe my purpose in life is to help people, and this is how i want to help people.","Attainment, Spiritual"
i would like to get my masters in psychology and start my own practice.,"Attainment, Navigational"
i am here attending this school is because i want to achieve a bachelors degree.,"Aspirational, Attainment"
i am here to study race and resistance in the ethnic studies department.,"Aspirational, Attainment"
if i choose not to run for public office i may decide to do the paralegal program at state.,Attainment
i want to be able to say that i finished university and get my degree.,Attainment
i hope to become a director or even an actor one day and make the big bucks.,Attainment
i want to become a children's psychologist and this class is necessary to do so.,Attainment
i am here because i want to expand my understanding of the world so that i am capable of impacting it in some way.,"Aspirational, Attainment"
"hopefully, this will lead me to a career in international politics that is as fulfilling as it is impactful.",Attainment
i look forward to teaching history at the high school level for the first few years out of school while a pursue a law degree so i can eventually go into politics at some level.,Attainment
i am also here to continue my education and get a degree eventually.,Attainment
taking this class will help me finish my ba which will get me to a masters program and eventually phd which will hopefully be in double major of psychology and child development and minors in jewish studies and cwl.,"Attainment, Navigational"
i am here because i want to be a math teacher and bring love and joy to the center of math for students.,"Aspirational, Attainment, Spiritual"
i also want to be an anchor or a safe place for the students that i teach because i believe its important to have that in high school or in life in general.im here in astronomy because i love the stars and space and i want to expand my view and attention to more than just earthly things because the universe is more than just earth.,"Aspirational, Attainment, Spiritual"
i am here so that i can attain my bachelors in cinema and accomplish my mission of becoming a screenwriterdirector.,Attainment
"i am here to get my bs in physiology, so i can get into medical school.",Attainment
im here to learn and to be on the path towards becoming an optometrist or medical examiner.,Attainment
i am in sfsu because i want to go to medical school to become a neurologist or neurosurgeon.,Attainment
i am here in sfsu because i am the first generation in my family to go to college.,"Attainment, First Gen"
i want to get my degree and more on this stage of life and get a new life experiences.,"Aspirational, Attainment"
i am here because of my goal in trying to get a b.s. in biology concentrated physiology.,Attainment
"my family has been the typical nail salon shiz, but im here to become a doctor.","Attainment, Resistance"
this class for me is a review at the same time finding my purpose in science and my future career as a pt.,"Attainment, Navigational"
that means i have a higher chance of getting excepted to med school.,Attainment
"getting excepted to med school means i will practice my future career and move one step closer to my dream which means i will become a heart surgeon, meaning treat people and help them so i will give back to my community.",Attainment
i want to go to medical school after college to be an oncologist.,"Aspirational, Attainment"
i want to try to get into veterinary school that is why i am in ochem. my major is undeclared in bio but really want to concentrate in marine bio so i technically dont need this class to graduate but its recommended for vet schools.,"Aspirational, Attainment, Navigational"
"hopefully with my masters i can do something more, something important.",Attainment
"i want to be in the medical field, but before i do that, i need to finish here (sf state).","Aspirational, Attainment, Navigational"
"i am here because im passionate about sciencemath, so i want to expand my knowledge.","Aspirational, Attainment"
i want to be a physical therapist.,Attainment
im here because i want to become a dentist.,Attainment
i am here to get extra help in passing the course and the requirements i need to get into optometry school or pa school.,"Aspirational, Attainment, Navigational"
i am a first generation and want to become a dentist because no one in my community understands the importance of dental hygiene and i want them to feel comfortable to come to me when they need it.,"Attainment, First Gen"
"i want to have a career as an epidemiologist, virologist, or dr. of infectious diseases.",Attainment
"as a doctor, i hope to educate and help maintain a happy life style for my community.","Attainment, Community"
im here to get my degree in biochemistry but i also make sure i dont lose myself as an individual through the process.,Attainment
im here at san francisco state university to receive an education excel in the sciences and further prepare me for medical school.,Attainment
also i feel that without this class i would not be able to get an a in chem 115 because that is my goal.,Attainment
i need to get a higher degree in order to become a p.a. so i plan on going to grad school after.,Attainment
"im here because i want to further my education so that i can become a physician assistant .to become a physician assistant, i will be doing more schooling after sfsu .","Attainment, Navigational"
"so as a result i think its really important for me to understand and do well in chemistry, not just for my major and to get a degree, but to apply it to my future careerhopefully in the medical field.",Attainment
"i want to pursue a career in the medical field, specifically a pediatric doctor.","Aspirational, Attainment"
"chem 115 is a requirement for me because i am a biology major, and hope to pass a b or higher, so i figured this class could help me reach that goal.","Attainment, Navigational"
"i am here because i fell in love with thee whole concept of chemistry, i am deeply interested in science and i want to prove to myself that i can actually become a chemist or a dermatologist.","Aspirational, Attainment"
i am here to make my parents proud as well.,"Aspirational, Attainment, Familial, Filial Piety, First Gen"
i am the first generation to go to college so i want to show my parents my love for science and become something.,"Aspirational, Attainment, Familial, Filial Piety, First Gen"
i am here because my dream is to be a doctor i know that to be one required many years of school.,Attainment
i am here to get a degree to make something of myself.,"Aspirational, Attainment"
im in college to get my degree that can allow me to go to my doctorate program and obtain that doctorate which will open so many doors for me in a career choiceopportunities .,Attainment
"my second is to receive a degree in engineering, and hopefully getting a really good job in the future working for one of my favorite car companies helping to develop something new and improve.",Attainment
i want to graduate to make her proud and because along the way i found a genuine love for engineering.,Attainment
i am at san francisco state university to get a bachelors degree in civil engineering.,Attainment
"one of the main reasons why i came to california was to become an engineer, i fell in love with this state and everything that surrounds it.",Attainment
"more specifically, my goal is to become a sports physical therapist and work to rehabilitate athletes, so dealing with physics and its relationship with the human body is going to be a big component of my job.",Attainment
"particularly, it was all the injuries that i have been through over the years that really made me want to become a physical therapist and help others who may be going through any injuries they may experience in their lifetime.",Attainment
"i would like to become a physical therapist, specifically for athletes.",Attainment
i want to be the first one from my family to graduate from college.,"Attainment, Familial, Filial Piety, First Gen"
become a nurse has always been my dream job and i hope to make it real even though sometimes is hard to keep going but not impossible.,"Attainment, Perseverant"
also part of it is for my mom im only here because im just trying to make her proud and also make myself proud that i can get a degree.,"Attainment, Familial, Filial Piety"
hopefully im able to graduated in 4 years just because i do want to work for my master degree in the future i feel like its going to benefit me and especially for my mom and family.,"Attainment, Familial, Filial Piety"
i am a prekinesiology major hopefully a kinesiology major next fall because i hope to be a physical therapist in the near future.,Attainment
"i am trying to get all my general education courses as well as a few prerequisite courses because i am also interested in getting a business minor, so i need to try to get everything out of the way as soon as possible to be able to graduate on time and hopefully get into a graduate physical therapy school.",Attainment
my major is kinesiology and physics is a pre requisite for m y end goal of be coming a physical therapist.,Attainment
being here is also important for my growth and development.,"Aspirational, Attainment"
this could help me simply better understand every day experiences but ultimately will help me in my future career as a physical therapist.,Attainment
i want a degree in kinesiology because i want to pursue becoming a physical therapist.,"Aspirational, Attainment"
im here because i want to become either a physical therapist or an occupational therapist.,"Aspirational, Attainment"
"in order to get there, i need to graduate from college with a bachelors degree.",Attainment
"i think firstly that i had a good time learning physics in high school, so i already had an interest in this so i can also complete my requirements to graduate.",Attainment
"as a first generation college student, my passing through college is not only for me, but for my family as well.","Aspirational, Attainment, Filial Piety, First Gen"
i am here for my growth and learning so i can be better than i was before this class.,"Aspirational, Attainment"
moving around a lot made it easier for me to become an adaptable person and see the culture differences within our own country.,Attainment
"my current path is to become a physical therapist because i enjoy communicating with and helping people and as a pt, i will have many opportunities to travel for work.","Attainment, Social"
"right away, i did more research on what an ot does and ever since, i continued taking more classes and hope to attend ot grad school after i graduate with a bs in kinesiology.",Attainment
"i believe that i am here to also make my parents proud and most importantly, to make myself proud.","Aspirational, Attainment, Filial Piety"
"i also want to have a family in the future and be able to take care and provide for them, so i want to have a good job that will help me become financially stable in the near future.","Attainment, Filial Piety"
i am here to learn about the body and movements in order to help others become healthier and stronger.,Attainment
"i am here at school because i want to become a nurse, and that requires a license and degree.","Aspirational, Attainment"
"i feel passionate about helping others that if i could, i would want to be a doctor.",Attainment
i am here attending sfsu to achieve higher education but also to hopefully find a career.,"Aspirational, Attainment"
one reason that i am taking physics is because i need to for my major courses to graduate and achieve my bachelor of science degree in exercise science and movement science.,Attainment
my mind has not been made up yet if i wanted to go to medical school etc.,Attainment
anything can happen though till i graduate so i do have time to reflect and process everything in my mind to make the best decision for myself and future.,Attainment
"all i know, at this point in my life, are my likes and dislikes, the person i would like to become in the future, and even the person id like to be with for the rest of my life.",Attainment
"but my main purpose at the moment is to work hard and finish these next 2 years of school to get my bachelors degree in anthropology and minor in recreation, parks, and tourism.",Attainment
while i am helping the plant with my small contributions i am also studying to become a therapist with my psychology major.,Attainment
"i find that it is very fulfilling to create things or put something together, which is another reason i joined stem, and choosing an engineering field specifically.","Attainment, Social"
i still want to continue into the stem field so that i can keep learning new things and working towards earning a degree in stem.,Attainment
why i want to go into a stem field is because engineering is something that interests me the most.,Attainment
once i interned at the exploratorium i was set on becoming an artist engineer.,Attainment
the reason why i want to go into the stem field is because it's a place where i can potentially help improve the world through the engineering aspects.,Attainment
i want to be part of the new young generation of engineers going into the industry with new ideas and better technology usage to improve how fast a project can be completed.,"Aspirational, Attainment"
it's also something very motivating for me to be a first generation in college and the first to be majoring as an engineer so that continues to push me to continue being in the stem field despite how challenging this field is.,"Aspirational, Attainment, First Gen, Perseverant"
"personally for me, i am pursuing a career in the stem field due to me enjoying buildingdesigning objects that serve a purpose in life.",Attainment
another bonus about the job is that hopefully i'll be earning enough money so that i can support my partner and they will be able to pursue whatever they want in life without having to worry about money.,Attainment
"i am pursuing my civil engineering and starting out after college will be at least 60,000 which is really high compared to what i am used to now.",Attainment
my mother always made myself very interested in this major because she is a civil engineer as well.,Attainment
i didn't really know what i was getting myself into when i first started studying the prerequisite classes for civil engineering.,Attainment
i want to go into the stem field because i want opportunities to work in a field where i can learn interesting things about the world.,Attainment
there is always going to be a demand for engineers no matter what.,Attainment
"this is a super quick overview of why i want to get into the stem field, engineering in particular.","Aspirational, Attainment"
so a big piece of this is to find independence by gaining an engineering degree and then once i have gained that independence then can work towards addressing these many issues.,Attainment
i think that the engineers without borders program looks like a really cool avenue to work in once i make it to the level of a practicing engineer.,Attainment
"with all the wildfire activity in california, perhaps theres an engineering solution that can help us address the excess of 20 million acres of fuel load.",Attainment
lesley alexander928023576phys0222reflection 1why do i want to become a computer science major?,Attainment
"so, i want to be a software engineer for a video company one day, enjoying my favorite hobby and learning at the same time.",Attainment
i actually plan on transferring out of sfsu to pursue a degree in environmental engineering.,Attainment
i'm currently studying under a civil engineering degree at sfsu but i want to focus on the material science and carboncapture aspect of engineering.,"Aspirational, Attainment"
when i was young i always wanted to grow up and become an engineer.,"Aspirational, Attainment"
yet i also really enjoyed drawing; so i decided to choose civil engineering since it offered a heavy focus on math and since while also incorporating drawings of drafts etc.,Attainment
i have always wanted to grow up and become a stem major because i have always enjoyed exploring mathematics and science.,"Aspirational, Attainment"
i currently am trying to major in computer science but i would much rather do electrical engineering.,Attainment
i only chose computer science because i am hoping to graduate soon since i am 27 years old.,Attainment
i hope to pursue a masters degree to increase my chances of landing a great job once i graduate.,Attainment
i would like to complete the transition to electrical engineering if i can complete this class with a greater understanding and with more confidence in myself.,Attainment
"i genuinely want to become a great mechanical engineer for myself, not for my parents, and i want to become a person who can solve problems no matter how challenging, but i have to first overcome the challenge of graduating.(p.s. this sounded so much more dramatic than it was meant to be now that i read it back, but i just let my thoughts flow.)",Attainment
"i want to go into a stem field, computer science specifically, because technology interests me.",Attainment
"and sitting in my cs classes where i see one other single woman, it starts to become more obvious.",Attainment
its important to me that the next generation realizes that careers have no gender and just because youre not a prodigy doesnt mean you cant pursue science!,Attainment
i have always wanted to pursue some sort of career in either botany or astronomy.,Attainment
"some day when i graduate i hope to work at nasa, charting stars and galaxies and discovering the secrets of the universe.",Attainment
i have decided to go into the stem field because i have always wanted to be an engineer.,Attainment
"i have always wanted to major as engineer, but i was unsure what type of engineering i would pursue.",Attainment
"i loved building things which made me decide civil engineering, but i always enjoyed working with cars since my dad worked and built cars when i was a kid.",Attainment
working with cars specifically made me decide to switch to mechanical engineering and pursue that as a career goal.,Attainment
